cart_velocity,pole_angular_velocity,pole_angle,motor_command
265.91507,-4.9963036,-2.7308993,0.728919
280.4216,-4.9097905,-2.8127291,0.728919
294.92813,-4.812107,-2.892931,0.728919
309.43466,-4.704132,-2.9713333,0.728919
323.9412,-4.586478,-3.0477746,0.728919
338.44772,-4.459813,-3.122105,0.728919
352.95425,-4.3251324,3.0889947,0.728919
367.4608,-4.183135,3.019276,0.55548155
378.8196,-4.0579205,2.951644,0.55548155
390.17844,-3.9265678,2.8862011,0.55548155
401.53726,-3.7895505,2.823042,0.55548155
412.8961,-3.64777,2.7622457,0.55548155
424.2549,-3.5017338,2.7038834,0.55548155
435.61374,-3.351985,2.648017,0.55548155
446.97256,-3.199324,2.5946949,0.55548155
458.3314,-3.0440745,2.5439603,0.55548155
469.69022,-2.8869226,2.4958448,0.55548155
481.04904,-2.7281616,2.4503756,0.55548155
492.40787,-2.568366,2.4075694,0.55548155
500,-2.428727,2.3670907,0.55548155
500,-2.3283322,2.3282852,-0.5195623
492.1743,-2.2652876,2.2905304,-0.5195623
484.34857,-2.197801,2.2539005,-0.5195623
476.52286,-2.1261482,2.2184646,-0.5195623
468.69714,-2.0506675,2.1842868,-0.5195623
460.87143,-1.9714956,2.1514285,-0.5195623
453.04572,-1.8889714,2.1199455,-0.5195623
445.22,-1.8033427,2.0898898,-0.5195623
437.3943,-1.714936,2.0613074,-0.5195623
429.56857,-1.6238883,2.0342426,-0.5195623
421.74286,-1.5304998,2.0087342,-0.5195623
413.91714,-1.4349979,1.9848176,-0.5195623
406.09143,-1.3375998,1.9625243,-0.5195623
398.26572,-1.2385796,1.9418813,0.34872854
405.5706,-1.0970204,1.9235976,0.34872854
412.87546,-0.95637554,1.907658,0.34872854
420.18033,-0.8166799,1.8940467,0.75336814
435.11713,-0.65970904,1.8830515,0.75336814
450.05392,-0.50428164,1.8746468,0.75336814
464.99072,-0.3502407,1.8688095,0.75336814
479.92752,-0.19733585,1.8655205,0.75336814
494.86432,-0.04540512,1.8647637,0.75336814
500,0.084479846,1.8661717,0.75336814
500,0.20256768,1.8695478,0.75336814
500,0.3199409,1.8748802,-0.11791694
500,0.43654874,1.882156,-0.11791694
500,0.55230844,1.8913611,-0.11791694
500,0.66715086,1.9024802,-0.11791694
500,0.7810025,1.915497,-0.11791694
500,0.89377284,1.9303932,-0.11791694
500,1.0053844,1.9471496,-0.11791694
500,1.1157271,1.9657451,-0.11791694
500,1.2246901,1.9861566,-0.11791694
500,1.3321635,2.0083592,-0.11791694
500,1.4380127,2.032326,-0.11791694
500,1.5421016,2.0580277,-0.11791694
500,1.6442726,2.0854323,-0.11791694
500,1.744384,2.1145053,-0.11791694
500,1.8422592,2.1452096,-0.55842876
491.3903,1.902764,2.1769223,-0.55842876
482.78058,1.9590967,2.209574,-0.55842876
