episode_id,step,cart_velocity,pole_angular_velocity,pole_angle,cart_position,motor_command,reward,done
3,5,0.21537158,-0.09078072,0.043730672,0.017947387,-0.04283528319999996,-0.10144679,0
3,6,0.21537158,-0.08705391,0.0386382,0.021536864,-0.07207047,-0.09075019,0
3,7,0.21537158,-0.08374093,0.033916604,0.025126344,-0.09988857239999999,-0.08179446,0
3,8,0.21519643,-0.080747575,0.029526195,0.028712891,-0.126191642,-0.074218206,0
3,9,0.21467097,-0.07798429,0.025433771,0.03229077,-0.1508440026,-0.067721255,0
3,10,0.21371311,-0.075391494,0.021610834,0.03585266,-0.17381563040000003,-0.062090863,0
3,11,0.21227767,-0.07293199,0.01803223,0.039390624,-0.195156988,-0.057175785,0
3,12,0.2103417,-0.0705792,0.01467548,0.042896364,-0.214946488,-0.0528599,0
3,13,0.20789705,-0.06830884,0.011520502,0.046361327,-0.23325148119999994,-0.04904557,0
3,14,0.20494634,-0.06610741,0.008548921,0.049777098,-0.2501771926,-0.045662086,0
3,15,0.20149903,-0.06396126,0.0057440586,0.053135376,-0.26581214916000007,-0.042647753,0
3,16,0.19756964,-0.061865687,0.0030903625,0.056428224,-0.2802790275,-0.039959963,0
3,17,0.19317505,-0.05981061,0.0005735423,0.05964783,-0.29366175238,-0.037555266,0
3,18,0.18833424,-0.05779255,-0.0018198278,0.06278674,-0.30606913132,-0.035403565,0
3,19,0.18306655,-0.055808526,-0.0041023106,0.06583789,-0.31760434963999995,-0.033479325,0
3,20,0.17739083,-0.053854365,-0.0062856628,0.06879444,-0.32835705532000004,-0.031759206,0
3,21,0.17132534,-0.051930647,-0.008381172,0.0716499,-0.33843625180000003,-0.030228056,0
3,22,0.16488644,-0.05003172,-0.010399352,0.07439795,-0.3479125088,-0.028866623,0
3,23,0.15808943,-0.04816156,-0.012350495,0.077032715,-0.356902453,-0.027667835,0
3,24,0.15094651,-0.046316184,-0.014244282,0.07954846,-0.36547717080000003,-0.026618406,0
3,25,0.14346816,-0.044492938,-0.016089946,0.08193958,-0.37371018240000003,-0.025708368,0
3,26,0.1356627,-0.04269101,-0.01789637,0.08420056,-0.38168092800000003,-0.024931129,0
3,27,0.12753597,-0.040910345,-0.019672224,0.086326174,-0.3894706306,-0.024282169,0
3,28,0.119090945,-0.039147202,-0.021425726,0.08831103,-0.3971378344,-0.023755213,0
3,29,0.11032849,-0.037400194,-0.023164893,0.0901499,-0.4047509642,-0.0233474,0
3,30,0.10124684,-0.035664737,-0.024897337,0.0918374,-0.4123586528,-0.023054734,0
