iter,avg_reward,avg_len,episodes,std,loss
198,2463.9872,3000.00,24,0.3519,19.4793
199,2269.9524,2762.36,22,0.3518,19.6100
200,2450.9613,2883.22,23,0.3516,20.7519
201,2020.5289,2461.96,27,0.3508,23.8780
202,2530.5060,2965.59,22,0.3502,19.3233
203,2177.6895,2537.76,25,0.3494,27.0237
204,2184.1048,2564.34,32,0.3484,22.3901
205,1867.9531,2308.40,20,0.3477,27.5722
206,2295.5216,2647.25,28,0.3473,23.5729
207,2146.0805,2692.59,29,0.3460,22.0871
208,1997.6340,2374.65,20,0.3452,26.3664
209,2196.9089,2634.24,25,0.3444,23.5231
210,2076.3749,2582.29,31,0.3438,24.4870
211,2285.7654,2675.79,19,0.3425,26.7371
212,1784.6117,2169.94,32,0.3415,28.7549
213,2237.2070,2606.52,29,0.3413,26.2446
214,2087.4614,2535.76,17,0.3410,23.9234
215,2079.5494,2490.87,31,0.3411,23.9691
216,2213.8798,2782.54,28,0.3404,24.2949
217,2064.2261,2540.64,14,0.3395,25.0155
218,2484.4457,2894.62,29,0.3381,20.4957
219,2154.1158,2627.90,29,0.3362,26.6750
220,2225.2288,2714.00,16,0.3351,23.4055
221,2080.8931,2652.21,28,0.3340,24.0504
222,2350.9944,2820.66,29,0.3343,23.8982
223,2175.0359,2609.07,15,0.3352,24.4810
224,2462.2992,2939.73,26,0.3356,20.9929
225,2427.2086,2879.78,27,0.3359,23.2328
226,2543.2591,2978.76,17,0.3354,20.9903
227,2548.4161,3000.00,21,0.3343,19.5318
228,2511.0080,2928.15,27,0.3343,21.0205
229,2244.6679,2817.20,20,0.3343,27.5350
230,2436.8816,2810.59,22,0.3334,21.9076
231,2382.3838,2917.44,25,0.3323,21.4822
232,2128.1857,2646.52,23,0.3313,25.9357
233,2517.8534,3000.00,22,0.3302,20.6478
234,2412.0311,2756.88,25,0.3289,21.9052
235,2225.4041,2718.36,22,0.3286,21.4081
236,2345.7395,2788.83,23,0.3289,21.4446
237,2467.8875,2972.52,23,0.3284,19.3172
238,2392.6597,2847.50,22,0.3285,23.0257
239,2299.2823,2897.20,25,0.3291,21.2796
240,2208.9201,2797.86,22,0.3284,23.6527
241,2531.3856,3000.00,20,0.3283,22.5356
242,2444.4042,2851.75,28,0.3282,25.6028
243,2259.7819,2751.29,21,0.3278,25.6926
244,2181.1296,2718.24,21,0.3279,24.3403
245,2487.3985,3000.00,24,0.3277,21.8757
246,2330.6700,2720.08,25,0.3276,25.2765
247,2252.9130,2678.00,24,0.3269,26.4017
248,2481.9399,2922.24,25,0.3258,22.4983
249,2428.1130,3000.00,19,0.3254,21.8605
250,2501.5029,3000.00,23,0.3249,21.0841
251,2298.8330,2872.21,24,0.3243,23.8498
252,2286.1290,2820.10,20,0.3232,22.1078
253,2429.7228,2827.04,25,0.3229,21.7856
254,2207.4189,2808.12,25,0.3217,25.8755
255,2496.8433,2890.70,20,0.3203,22.3508
256,2339.5779,2836.92,26,0.3197,21.1128
257,2494.0071,2970.19,21,0.3191,23.3979
258,2431.1603,3000.00,19,0.3192,21.5970
259,2418.9858,2906.59,27,0.3190,23.4676
260,2381.7422,2887.41,22,0.3184,21.5188
261,2437.1255,2859.75,20,0.3174,23.0194
262,2561.3709,3000.00,24,0.3171,22.5955
263,2580.3626,3000.00,20,0.3168,23.3600
264,2547.8310,2889.57,23,0.3162,20.9540
265,2558.3317,3000.00,22,0.3158,23.9652
266,2316.2410,2859.74,23,0.3156,21.7954
267,2550.5075,2921.96,24,0.3156,23.1609
268,2404.0605,3000.00,20,0.3149,20.1748
269,2369.2402,2815.20,25,0.3143,22.9594
270,2413.5232,3000.00,22,0.3143,23.6862
271,2420.0273,3000.00,18,0.3138,22.3440
272,2427.6259,2878.52,27,0.3129,22.3978
273,2431.8789,2974.41,22,0.3124,24.8813
274,2410.9597,2850.25,20,0.3122,21.5861
275,2435.7361,2959.96,24,0.3116,25.5884
276,2415.4723,2927.54,26,0.3116,19.8782
277,2456.4319,2911.59,17,0.3116,22.3789
278,2491.6427,2910.00,22,0.3113,22.7190
279,2495.1043,3000.00,27,0.3105,21.3901
280,2373.9017,2875.62,16,0.3102,21.0131
281,2252.9807,2754.19,27,0.3102,23.3742
282,2362.0146,2861.40,25,0.3103,19.7155
283,2328.2717,2697.91,22,0.3101,26.0794
284,2423.8077,2847.00,23,0.3100,23.5620
285,2396.7927,2967.62,21,0.3100,24.1442
286,2479.9874,2989.25,20,0.3096,23.4329
287,2458.9730,2972.21,24,0.3089,25.5205
288,2382.3840,2900.78,23,0.3089,23.4638
289,2510.2813,2964.31,26,0.3090,24.7609
290,2269.1636,2748.59,17,0.3084,22.4862
291,2380.0428,3000.00,24,0.3081,17.8580
292,2305.4832,2844.90,29,0.3078,22.4629
293,2451.0243,3000.00,14,0.3073,21.0313
294,2345.0928,2967.36,25,0.3063,23.4137
295,2540.8637,2947.59,27,0.3057,23.3055
296,2459.2340,2914.11,18,0.3052,22.8615
297,2377.9383,2831.17,23,0.3049,24.0126
298,2506.5817,2977.19,26,0.3051,20.8177
299,2398.1236,3000.00,18,0.3052,22.0698
300,2338.0310,2875.43,21,0.3055,23.8240
301,2513.6841,2928.64,28,0.3055,23.0461
302,2407.4960,2909.71,17,0.3055,22.8648
303,2476.0217,2812.48,23,0.3050,23.7846
304,2323.1025,2897.04,28,0.3039,22.9546
305,2556.0339,2900.44,16,0.3026,20.8899
306,2387.6397,2845.46,24,0.3023,22.0640
307,2440.4252,2883.13,30,0.3021,22.3836
308,2221.1344,2727.71,14,0.3012,24.5918
309,2438.5796,2911.69,26,0.3003,23.1656
310,2355.7765,2888.93,29,0.2996,21.7396
311,2416.0153,2801.14,14,0.2990,21.8722
312,2492.1552,2987.04,24,0.2991,23.2053
313,2221.6740,2737.55,31,0.2991,24.3827
314,2287.8153,2721.15,20,0.2991,24.8279
315,2417.2209,3000.00,17,0.2992,22.6038
316,2519.8274,3000.00,28,0.2992,20.5237
317,2381.2754,2965.57,21,0.2986,21.8861
318,2479.8458,3000.00,18,0.2981,22.2320
319,2401.0304,2897.38,29,0.2981,21.1976
320,2325.8509,2885.80,20,0.2981,22.3029
321,2411.2518,2782.33,18,0.2974,23.8428
322,2375.1772,2910.32,28,0.2970,23.8671
323,2518.5540,2925.95,21,0.2970,18.5445
324,2388.3449,2942.19,21,0.2964,23.3499
325,2420.6187,2887.38,24,0.2960,23.3327
326,2368.2805,2931.04,23,0.2959,20.1503
327,2333.8895,2869.74,23,0.2958,26.7190
328,2419.1178,2845.05,21,0.2954,23.5006
329,2344.5883,2846.35,23,0.2947,23.0897
330,2465.8407,3000.00,25,0.2944,21.2198
331,2578.1960,3000.00,19,0.2944,20.6677
332,2350.2895,2886.29,24,0.2942,21.8117
333,2528.3096,3000.00,23,0.2939,20.6424
334,2367.6536,3000.00,18,0.2940,19.4439
335,2473.2843,3000.00,26,0.2939,18.6256
336,2406.5527,2903.32,22,0.2937,19.5056
337,2202.6201,2790.00,20,0.2936,24.0503
338,2512.4204,3000.00,25,0.2925,19.8147
339,2456.1979,2908.52,21,0.2919,24.7677
340,2493.5912,2917.00,22,0.2920,23.6348
341,2444.7361,2858.92,24,0.2924,23.1672
342,2525.2808,2982.80,20,0.2927,23.4550
343,2507.5580,3000.00,23,0.2924,21.9294
344,2616.5078,2896.14,22,0.2914,22.1897
345,2551.3009,3000.00,22,0.2906,24.0675
346,2541.1706,2985.45,22,0.2898,22.0815
347,2478.9029,3000.00,22,0.2893,22.7657
348,2491.0673,2971.55,22,0.2891,24.6628
349,2436.5842,3000.00,23,0.2893,26.5147
350,2531.3712,3000.00,20,0.2894,22.8008
351,2503.0221,2936.68,25,0.2886,21.2292
352,2294.2536,2790.39,23,0.2879,22.3064
353,2431.3692,3000.00,20,0.2875,19.1559
354,2432.4408,3000.00,23,0.2870,20.8265
